Name,Time,Productivity,Number of operators,Redesign costs
admin,24/04/2025 15:54:07,347.625,4,0.0 €
admin,28/04/2025 15:08:00,349.875,4,0.0 €
admin,28/04/2025 15:12:30,357.75,4,0.0 €
admin,28/04/2025 15:13:18,352.125,4,0.0 €
admin,28/04/2025 15:28:03,346.5,4,0.0 €
admin,28/04/2025 15:29:01,344.25,4,0.0 €
admin,28/04/2025 15:29:45,346.5,4,0.0 €
admin,28/04/2025 15:31:09,357.75,4,0.0 €
admin,28/04/2025 15:32:48,340.875,4,0.0 €
admin,28/04/2025 15:39:24,343.125,4,0.0 €
admin,28/04/2025 15:41:22,348.75,4,0.0 €
admin,28/04/2025 15:45:41,351.0,4,0.0 €
admin,28/04/2025 16:02:19,344.25,4,0.0 €
admin,28/04/2025 16:21:19,344.25,4,0.0 €
