import time: self [us] | cumulative | imported package
import time:        81 |         81 | winreg
import time:       209 |        209 |   _io
import time:        25 |         25 |   marshal
import time:       124 |        124 |   nt
import time:       227 |        583 | _frozen_importlib_external
import time:       551 |        551 |   time
import time:        79 |        630 | zipimport
import time:        37 |         37 |     _codecs
import time:       228 |        265 |   codecs
import time:       999 |        999 |   encodings.aliases
import time:      1521 |       2784 | encodings
import time:       698 |        698 | encodings.utf_8
import time:       593 |        593 | encodings.cp1252
import time:        51 |         51 | _signal
import time:        28 |         28 |     _abc
import time:        99 |        127 |   abc
import time:       117 |        244 | io
import time:        59 |         59 |       _stat
import time:        61 |        120 |     stat
import time:       581 |        581 |     _collections_abc
import time:        29 |         29 |       genericpath
import time:       102 |        102 |       _winapi
import time:        56 |        187 |     ntpath
import time:       203 |       1089 |   os
import time:        53 |         53 |   _sitebuiltins
import time:       884 |        884 |   encodings.utf_8_sig
import time:       562 |        562 |     pywin32_system32
import time:      1788 |       2350 |   pywin32_bootstrap
import time:      1304 |       1304 |   _distutils_hack
import time:       341 |        341 |   sitecustomize
import time:       252 |        252 |   usercustomize
import time:      2367 |       8636 | site
import time:      1446 |       1446 |       hsim
import time:       670 |       2115 |     hsim.core
import time:       572 |       2687 |   hsim.core.utils
import time:       584 |        584 |     __future__
import time:      1052 |       1052 |     warnings
import time:       735 |        735 |           types
import time:       137 |        137 |             _operator
import time:       616 |        753 |           operator
import time:       144 |        144 |               itertools
import time:       464 |        464 |               keyword
import time:       516 |        516 |               reprlib
import time:        64 |         64 |               _collections
import time:       917 |       2102 |             collections
import time:        47 |         47 |             _functools
import time:       857 |       3005 |           functools
import time:      1673 |       6165 |         enum
import time:       617 |        617 |           numpy._utils._convertions
import time:       763 |       1379 |         numpy._utils
import time:       783 |       8325 |       numpy._globals
import time:       453 |        453 |       numpy._expired_attrs_2_0
import time:       438 |        438 |       numpy.version
import time:       181 |        181 |         numpy._distributor_init_local
import time:       869 |       1050 |       numpy._distributor_init
import time:       724 |        724 |                 numpy._utils._inspect
import time:       269 |        269 |                     _datetime
import time:       759 |       1028 |                   datetime
import time:        63 |         63 |                   math
import time:       568 |        568 |                   numpy.exceptions
import time:       550 |        550 |                   numpy._core._exceptions
import time:        35 |         35 |                       _contextvars
import time:       457 |        492 |                     contextvars
import time:       399 |        891 |                   numpy._core.printoptions
import time:       458 |        458 |                   numpy.dtypes
import time:      6663 |      10219 |                 numpy._core._multiarray_umath
import time:       703 |      11645 |               numpy._core.overrides
import time:      1210 |      12855 |             numpy._core.multiarray
import time:       956 |        956 |             numpy._core.umath
import time:       813 |        813 |               numbers
import time:       449 |        449 |               numpy._core._string_helpers
import time:       569 |        569 |               numpy._core._type_aliases
